Theta,Radius,Area
0,2.43257e-16,0
0.0317333,0.0150365,0.000572917
0.0634665,0.0299434,0.00227354
0.0951998,0.0445962,0.00505057
0.126933,0.058888,0.00882819
0.158666,0.0727358,0.0135181
0.1904,0.0860829,0.0190316
0.222133,0.0988977,0.0252887
0.253866,0.111169,0.0322206
0.285599,0.122897,0.0397637
0.317333,0.134085,0.0478482
0.349066,0.14473,0.056383
0.380799,0.154813,0.0652428
0.412532,0.1643,0.0742621
0.444266,0.173142,0.0832393
0.475999,0.181278,0.091949
0.507732,0.18865,0.100163
0.539465,0.195204,0.107677
0.571199,0.200909,0.114331
0.602932,0.205759,0.120032
0.634665,0.20978,0.124766
0.666398,0.213031,0.128599
0.698132,0.215609,0.131678
0.729865,0.217635,0.134215
0.761598,0.219251,0.136472
0.793331,0.220601,0.138715
0.825065,0.221817,0.141157
0.856798,0.223002,0.143907
0.888531,0.224214,0.146953
0.920265,0.225466,0.150179
0.951998,0.226719,0.153387
0.983731,0.227896,0.156338
1.01546,0.228891,0.158786
1.0472,0.229587,0.160522
1.07893,0.229873,0.161404
1.11066,0.229657,0.161379
1.1424,0.22888,0.160485
1.17413,0.227521,0.158817
1.20586,0.2256,0.156486
1.2376,0.223178,0.153593
1.26933,0.22035,0.150228
1.30106,0.217235,0.146485
1.3328,0.213965,0.142468
1.36453,0.210672,0.138289
1.39626,0.207469,0.134067
1.428,0.204443,0.12992
1.45973,0.201645,0.12596
1.49146,0.199092,0.122268
1.5232,0.196765,0.118865
1.55493,0.194627,0.115707
1.58666,0.192628,0.112701
1.6184,0.190724,0.109737
1.65013,0.188892,0.106704
1.68186,0.187139,0.103508
1.7136,0.185499,0.100096
1.74533,0.184033,0.096506
1.77706,0.182806,0.0929007
1.8088,0.181873,0.0895547
1.84053,0.181269,0.0867064
1.87226,0.181002,0.0844735
1.904,0.181056,0.0828865
1.93573,0.181399,0.081892
1.96746,0.181981,0.0813787
1.9992,0.18274,0.0812348
2.03093,0.183599,0.0813685
2.06266,0.184474,0.0816789
2.0944,0.185277,0.0820138
2.12613,0.185924,0.0821995
2.15786,0.186348,0.0821023
2.18959,0.186501,0.0816586
2.22133,0.186364,0.0808826
2.25306,0.185939,0.0798647
2.28479,0.185254,0.0787515
2.31653,0.18435,0.077776
2.34826,0.183282,0.0770959
2.37999,0.182107,0.0767873
2.41173,0.180877,0.0769065
2.44346,0.179629,0.0774613
2.47519,0.178368,0.0783717
2.50693,0.177053,0.0794552
2.53866,0.175592,0.0804431
2.57039,0.173843,0.0810188
2.60213,0.171625,0.0808629
2.63386,0.168737,0.0796963
2.66559,0.164982,0.0773148
2.69733,0.160188,0.0736139
2.72906,0.154228,0.0686022
2.76079,0.147038,0.0624044
2.79253,0.138618,0.0552516
2.82426,0.129037,0.0474615
2.85599,0.118413,0.0394086
2.88773,0.106902,0.0314853
2.91946,0.0946739,0.0240603
2.95119,0.0818933,0.0174392
2.98293,0.0687069,0.0118356
3.01466,0.0552342,0.00735705
3.04639,0.0415673,0.00401185
3.07813,0.0277742,0.00173417
3.10986,0.0139053,0.000425229
3.14159,1.18438e-15,7.29681e-17
