Theta,Radius,Area
0,1.66099e-16,0
0.0317333,0.0138311,0.000554738
0.0634665,0.0276402,0.00220695
0.0951998,0.0413956,0.00492181
0.126933,0.0550618,0.00864464
0.158666,0.0685975,0.0133044
0.1904,0.0819523,0.0188159
0.222133,0.095065,0.0250802
0.253866,0.107862,0.0319835
0.285599,0.120261,0.039396
0.317333,0.132169,0.0471739
0.349066,0.143494,0.0551634
0.380799,0.154147,0.0632089
0.412532,0.164054,0.0711606
0.444266,0.173154,0.0788817
0.475999,0.181411,0.086252
0.507732,0.188809,0.093171
0.539465,0.195359,0.0995602
0.571199,0.201091,0.105367
0.602932,0.206057,0.110569
0.634665,0.210322,0.115177
0.666398,0.213967,0.11924
0.698132,0.217079,0.12285
0.729865,0.219749,0.126131
0.761598,0.222067,0.129238
0.793331,0.224116,0.132329
0.825065,0.225966,0.13554
0.856798,0.227669,0.138953
0.888531,0.229254,0.142576
0.920265,0.230732,0.146343
0.951998,0.23209,0.150129
0.983731,0.233301,0.153772
1.01546,0.234323,0.157099
1.0472,0.235108,0.159947
1.07893,0.235599,0.162166
1.11066,0.235742,0.163628
1.1424,0.235483,0.164226
1.17413,0.234771,0.163881
1.20586,0.233569,0.162547
1.2376,0.23185,0.160216
1.26933,0.229604,0.156932
1.30106,0.226841,0.152784
1.3328,0.223594,0.147904
1.36453,0.21992,0.142452
1.39626,0.2159,0.136601
1.428,0.211642,0.130532
1.45973,0.207271,0.124423
1.49146,0.202935,0.118451
1.5232,0.198787,0.112778
1.55493,0.194985,0.107541
1.58666,0.191673,0.10284
1.6184,0.188974,0.0987251
1.65013,0.186981,0.0951971
1.68186,0.185742,0.0922268
1.7136,0.18526,0.0897676
1.74533,0.18549,0.0877666
1.77706,0.186334,0.0861743
1.8088,0.18765,0.0849491
1.84053,0.189258,0.0840791
1.87226,0.190957,0.0835948
1.904,0.192548,0.0835794
1.93573,0.19386,0.0838897
1.96746,0.194766,0.0842361
1.9992,0.195202,0.0845167
2.03093,0.195164,0.0846595
2.06266,0.194703,0.0846278
2.0944,0.193911,0.0844154
2.12613,0.192904,0.083998
2.15786,0.191813,0.0833448
2.18959,0.190762,0.0824705
2.22133,0.189861,0.0814446
2.25306,0.189194,0.0804043
2.28479,0.1888,0.0794857
2.31653,0.188676,0.0788312
2.34826,0.188765,0.0787296
2.37999,0.188965,0.0792969
2.41173,0.189135,0.0801911
2.44346,0.189115,0.0811109
2.47519,0.18874,0.0818153
2.50693,0.18786,0.0820962
2.53866,0.18635,0.0817878
2.57039,0.18412,0.0807767
2.60213,0.181107,0.0790019
2.63386,0.177274,0.0764452
2.66559,0.172595,0.0731167
2.69733,0.167054,0.0690437
2.72906,0.160631,0.0642682
2.76079,0.15331,0.0588543
2.79253,0.145074,0.0528965
2.82426,0.135911,0.0465235
2.85599,0.125816,0.0398946
2.88773,0.114798,0.033193
2.91946,0.102877,0.0266165
2.95119,0.0900917,0.0203685
2.98293,0.076498,0.0146507
3.01466,0.062175,0.00965567
3.04639,0.0472255,0.00555932
3.07813,0.0317768,0.00251306
3.10986,0.0159792,0.000634782
3.14159,1.02416e-15,4.90195e-17
