Theta,Radius,Area
0,9.00347e-16,0
0.0317333,0.0153396,0.000682764
0.0634665,0.0305817,0.00270846
0.0951998,0.04563,0.00601066
0.126933,0.0604056,0.0104833
0.158666,0.0748513,0.015988
0.1904,0.0889333,0.0223644
0.222133,0.102637,0.0294434
0.253866,0.115963,0.0370618
0.285599,0.128914,0.0450741
0.317333,0.141486,0.05336
0.349066,0.153662,0.0618217
0.380799,0.165401,0.070373
0.412532,0.176634,0.078921
0.444266,0.187268,0.0873475
0.475999,0.19719,0.095496
0.507732,0.206275,0.103169
0.539465,0.214404,0.110135
0.571199,0.221473,0.116156
0.602932,0.227413,0.121012
0.634665,0.232198,0.124539
0.666398,0.235854,0.126664
0.698132,0.238461,0.127421
0.729865,0.240145,0.12696
0.761598,0.241069,0.12553
0.793331,0.241415,0.123455
0.825065,0.241369,0.121103
0.856798,0.241098,0.118851
0.888531,0.240738,0.117144
0.920265,0.240381,0.116123
0.951998,0.240073,0.115783
0.983731,0.239812,0.116195
1.01546,0.23956,0.117269
1.0472,0.239252,0.118818
1.07893,0.238813,0.120619
1.11066,0.238174,0.122468
1.1424,0.237286,0.124214
1.17413,0.236132,0.125781
1.20586,0.234735,0.127178
1.2376,0.23316,0.128479
1.26933,0.23151,0.129781
1.30106,0.229915,0.131158
1.3328,0.228524,0.132666
1.36453,0.227487,0.134357
1.39626,0.226944,0.136291
1.428,0.227017,0.138514
1.45973,0.227797,0.141076
1.49146,0.229344,0.144068
1.5232,0.231674,0.147628
1.55493,0.23476,0.1519
1.58666,0.23853,0.15699
1.6184,0.242867,0.162919
1.65013,0.247616,0.169607
1.68186,0.252601,0.176862
1.7136,0.257642,0.184408
1.74533,0.262567,0.191913
1.77706,0.267236,0.199039
1.8088,0.271547,0.205493
1.84053,0.275445,0.211063
1.87226,0.278918,0.215647
1.904,0.281989,0.21925
1.93573,0.284702,0.22197
1.96746,0.287107,0.22396
1.9992,0.289245,0.225386
2.03093,0.29114,0.226389
2.06266,0.292788,0.22705
2.0944,0.294158,0.227367
2.12613,0.295198,0.227257
2.15786,0.295838,0.226583
2.18959,0.296004,0.225192
2.22133,0.295623,0.222948
2.25306,0.294632,0.219749
2.28479,0.292981,0.215532
2.31653,0.290636,0.210276
2.34826,0.287581,0.203987
2.37999,0.283812,0.196701
2.41173,0.279335,0.188472
2.44346,0.274159,0.179386
2.47519,0.268289,0.169555
2.50693,0.261725,0.159117
2.53866,0.254453,0.148217
2.57039,0.24645,0.136998
2.60213,0.237686,0.125588
2.63386,0.228127,0.114106
2.66559,0.21775,0.102669
2.69733,0.206547,0.0913943
2.72906,0.194531,0.0804052
2.76079,0.181742,0.0698213
2.79253,0.168246,0.059746
2.82426,0.154131,0.0502577
2.85599,0.139499,0.041413
2.88773,0.124463,0.0332591
2.91946,0.109135,0.0258481
2.95119,0.0936178,0.0192423
2.98293,0.0780007,0.0135113
3.01466,0.0623515,0.00872366
3.04639,0.0467148,0.00493944
3.07813,0.0311123,0.00220522
3.10986,0.0155452,0.000552743
3.14159,6.12852e-16,5.55179e-17
