Theta,Radius,Area
0,6.69882e-16,0
0.0317333,0.0120478,0.000448683
0.0634665,0.0240605,0.00178796
0.0951998,0.0359941,0.00399612
0.126933,0.0478076,0.00703311
0.158666,0.0594643,0.0108371
0.1904,0.07093,0.0153235
0.222133,0.0821705,0.0203875
0.253866,0.0931472,0.0259111
0.285599,0.103813,0.0317702
0.317333,0.114107,0.0378394
0.349066,0.123958,0.0439923
0.380799,0.133282,0.0500979
0.412532,0.141987,0.0560186
0.444266,0.149984,0.0616104
0.475999,0.157192,0.066727
0.507732,0.16355,0.0712291
0.539465,0.169023,0.0749986
0.571199,0.173611,0.0779572
0.602932,0.177348,0.0800843
0.634665,0.1803,0.0814286
0.666398,0.182562,0.0821074
0.698132,0.184249,0.082294
0.729865,0.185481,0.0821938
0.761598,0.186378,0.0820153
0.793331,0.187048,0.0819434
0.825065,0.187583,0.0821196
0.856798,0.188057,0.0826317
0.888531,0.188522,0.083513
0.920265,0.18901,0.0847484
0.951998,0.189536,0.0862846
0.983731,0.190094,0.0880384
1.01546,0.19066,0.0899057
1.0472,0.191197,0.0917733
1.07893,0.191656,0.0935382
1.11066,0.191984,0.095129
1.1424,0.192136,0.0965186
1.17413,0.192076,0.0977069
1.20586,0.191794,0.0986836
1.2376,0.191299,0.0994365
1.26933,0.190629,0.0999761
1.30106,0.189837,0.100327
1.3328,0.18899,0.100513
1.36453,0.18816,0.100558
1.39626,0.18741,0.100495
1.428,0.186803,0.100385
1.45973,0.186397,0.100337
1.49146,0.186254,0.100507
1.5232,0.186444,0.101083
1.55493,0.187042,0.102257
1.58666,0.188117,0.104191
1.6184,0.189726,0.10699
1.65013,0.191896,0.110666
1.68186,0.194612,0.115112
1.7136,0.197822,0.120117
1.74533,0.201437,0.125431
1.77706,0.205343,0.130829
1.8088,0.209415,0.136153
1.84053,0.213527,0.141339
1.87226,0.217559,0.146404
1.904,0.2214,0.151408
1.93573,0.22495,0.156335
1.96746,0.228118,0.160985
1.9992,0.230822,0.165026
2.03093,0.232993,0.168125
2.06266,0.234574,0.170021
2.0944,0.235531,0.170545
2.12613,0.235857,0.169625
2.15786,0.235576,0.167309
2.18959,0.234745,0.163776
2.22133,0.233448,0.159337
2.25306,0.231785,0.154401
2.28479,0.229855,0.149406
2.31653,0.227741,0.144707
2.34826,0.225494,0.140476
2.37999,0.223124,0.136659
2.41173,0.220601,0.133039
2.44346,0.217854,0.129333
2.47519,0.214783,0.125275
2.50693,0.211265,0.120668
2.53866,0.207165,0.115396
2.57039,0.202353,0.109418
2.60213,0.196707,0.102749
2.63386,0.190133,0.0954444
2.66559,0.182567,0.0875806
2.69733,0.173984,0.0792566
2.72906,0.164402,0.0705945
2.76079,0.153881,0.061747
2.79253,0.142519,0.052898
2.82426,0.130448,0.0442556
2.85599,0.117821,0.0360344
2.88773,0.104799,0.0284344
2.91946,0.0915417,0.0216203
2.95119,0.078191,0.0157073
2.98293,0.0648614,0.0107573
3.01466,0.0516321,0.00678354
3.04639,0.0385436,0.00376309
3.07813,0.0255989,0.00165366
3.10986,0.0127686,0.000410375
3.14159,1.35473e-15,1.83513e-17
